Date,Open,High,Low,Close
04-Sep-20,23119.15,23394.8,22876.9,23011.5
03-Sep-20,23986.15,24051.6,23451.65,23530.85
02-Sep-20,23769,23926.15,23482.55,23874.55
01-Sep-20,23893.8,24199.65,23473.15,23812
31-Aug-20,25038.8,25232.6,23385.3,23754.35
28-Aug-20,23635.3,24611.8,23599.2,24523.8
27-Aug-20,23511.45,23704.05,23464.15,23600.35
26-Aug-20,23175.55,23453.4,23093.15,23414.2
25-Aug-20,22973.4,23180.3,22857.9,23092.15
24-Aug-20,22436.85,22897.5,22410.05,22833
21-Aug-20,22190.7,22344.05,22165.05,22299.6
20-Aug-20,21989.9,22079.9,21886.7,21999.45
19-Aug-20,22315.4,22419.35,22234.25,22285.9
18-Aug-20,21702,22227.75,21629.4,22170.6
17-Aug-20,21906.95,21909.4,21403.15,21700.85
14-Aug-20,22334.95,22334.95,21459.1,21679.4
13-Aug-20,22395.2,22439.95,22139.6,22196.35
12-Aug-20,22135.95,22326.55,21990.2,22264
11-Aug-20,22050.2,22277.6,22039.85,22227.2
10-Aug-20,21824.9,22071.95,21795.1,21900.25
07-Aug-20,21620.25,21787.25,21451.3,21754
06-Aug-20,21644.25,21926.55,21370.3,21642.6
05-Aug-20,21686.85,21936.5,21448.4,21509.95
04-Aug-20,21248.25,21576.35,21057.75,21490.5
03-Aug-20,21543.8,21543.8,21031.45,21072.1
31-Jul-20,21730.55,21806.95,21375,21640.05
30-Jul-20,22195.05,22252.6,21580.15,21646.85
29-Jul-20,22075,22346.4,21906.35,22076.6
28-Jul-20,21940.15,22233,21611.4,22105.2
27-Jul-20,22664.6,22668.05,21801.35,21848.75
24-Jul-20,22853.2,22854.05,22417.2,22662.05
23-Jul-20,22854.85,23122.35,22734.9,23083.9
22-Jul-20,23159,23211.35,22658.2,22882.6
21-Jul-20,22639.85,22861.9,22597.95,22782
20-Jul-20,22307.3,22520.45,22187.8,22321.85
17-Jul-20,21608.05,22065,21550.8,21966.8
16-Jul-20,21453.25,21671.25,21027.85,21597.15
15-Jul-20,21634.25,21935.5,21230.55,21340.75
14-Jul-20,21877.6,21909.7,21222.45,21392.2
13-Jul-20,22613.25,22657.4,21981.65,22089.25
10-Jul-20,22720.95,22835.2,22320.05,22398.45
09-Jul-20,22753.15,22998.3,22673.4,22907.2
08-Jul-20,22700.9,23080.6,22499.5,22584.65
07-Jul-20,22254.3,22674.5,22040.35,22628
06-Jul-20,22270.95,22399.25,22171.05,22198.95
03-Jul-20,22101.75,22130.3,21768,21852.4
02-Jul-20,22133.8,22344.85,21890.5,21953.2
01-Jul-20,21354.1,22061.6,21281.85,21977.6
30-Jun-20,21524.3,21650.5,21212,21370.15
29-Jun-20,21291.55,21440.05,21026.45,21359
26-Jun-20,21735.05,21784.65,21320.1,21592.05
25-Jun-20,21218.05,21703.5,20926.45,21506.15
24-Jun-20,22479.35,22479.55,21336.35,21426.8
23-Jun-20,21859.25,22322.3,21647.8,22264.9
22-Jun-20,21491.55,22078.25,21425.55,21708.35
19-Jun-20,20970.1,21467.65,20878.25,21338.1
18-Jun-20,20137.6,21028.35,20030.35,20956.3
17-Jun-20,20137.45,20627.9,19978.15,20201.75
16-Jun-20,20500.65,20638.85,19507.05,20296.7
15-Jun-20,20457.15,20470.85,19740.2,19912.9
12-Jun-20,19529.3,20747.7,19526.1,20654.55
11-Jun-20,21084.7,21244.45,20458.3,20525.15
10-Jun-20,20760.95,21251.45,20671.55,21100.1
09-Jun-20,21295.5,21568.85,20629.7,20724.9
08-Jun-20,21636.1,21807.4,20911.25,21187.35
05-Jun-20,20516.4,21198.7,20425.05,21034.5
04-Jun-20,20932.35,21141.8,20316.2,20390.45
03-Jun-20,20966.6,21619.55,20822,20940.7
02-Jun-20,20120.6,20615.75,19852.55,20530.2
01-Jun-20,19728.9,20225.35,19632.9,19959.9
29-May-20,18962,19358.05,18729.9,19297.25
28-May-20,18924.45,19455.55,18818.95,19169.8
27-May-20,17603.4,18874.25,17560.35,18710.55
26-May-20,17537.65,17681.7,17311.25,17440.35
22-May-20,17554.25,17952.25,17105,17278.9
21-May-20,17901.95,18200.7,17658.55,17735.1
20-May-20,17486.5,18002.65,17407.7,17840.2
19-May-20,18037.15,18175.3,17390.65,17486.25
18-May-20,18795.1,18795.1,17514.2,17573.2
15-May-20,19098.8,19119.1,18683.65,18833.95
14-May-20,19197.7,19380.1,19024.75,19068.5
